minutes,player_name,TS%,AST,TO,USG,ORR,DRR,REBR,PER
0,Sylvester,0.630917185208355,31.36574169834518,15.790341842951193,36.59770959035673,7.929957302817415,17.384374586185295,15.270959325448382,32.815323815321634
0,Marvin the Martian,0.611840219758004,31.57209085160482,14.867477056351538,33.29538414456532,6.460885438863298,20.264848129858763,12.992461743799822,25.706020347098093
0,Road Runner,0.633857703356204,28.27063845935666,13.595221380765121,37.840610823096995,5.555510442784736,26.11541281241325,12.634702592853749,26.17200061826585
0,Foghorn Leghorn,0.6196888175813826,28.22248998595755,15.734283776547773,33.37881438439504,8.43479904874879,17.95222501204284,16.021382195341378,30.532900251855832
0,Bugs Bunny,0.6347566020131402,31.783738081645204,16.199512535538023,32.692049025101106,5.967817347222737,20.066499974685605,10.620196480492456,22.883538029483883
0,Elmer Fudd,0.615657861174604,31.697107246992914,15.183553994446001,34.55230615511238,4.95443497706349,25.9467218441263,17.276874065493686,29.318581321417025
0,Lola Bunny,0.6305599053187887,33.96470705570298,15.812356613865676,33.704703089726806,4.899878045685522,20.462725189194735,14.584976058774643,29.20706090525861
0,Porky Pig,0.6209633406409206,29.921228496479944,16.86874632985398,36.105575833314965,6.225961560067209,18.658826216181623,14.410732464752872,29.65607572894174
0,Tasmanian Devil,0.613152707182163,26.32959327521228,14.679512794908828,34.19529756425298,2.941479997371522,17.505315932793344,8.525413832953713,22.301013563595436
0,Gossamer,0.6141631545235597,29.916723179379577,15.624265599522095,33.52890595392067,7.232321436086374,15.432520806200955,13.427995506850136,28.79877303368563
0,Granny,0.6078680680244781,32.22768950138915,14.966412995539878,39.45472276433572,7.152953319903637,20.413228266267694,14.118016640028504,30.47540593855714
0,Wile E. Coyote,0.6266724991475093,34.35148343374826,14.228234070256972,36.47038054386662,6.253074021758715,15.990708721364141,14.262474920404312,33.54413484914305
0,Tweety,0.6144592077661546,26.32068443438725,13.57069921663651,33.42098529867644,6.0036597242948755,21.773934851211433,14.184623595096511,26.9699320825145
0,Penelope,0.6159138867509262,23.705130871147684,16.232580382454273,31.931267185288988,8.7849489369925,16.893583709496422,13.043482108874285,25.16367796132899
0,Daffy Duck,0.6265530677887837,32.416400911869744,14.317817190183572,29.90172473603109,6.678856948587097,19.281704668977568,14.965086116876792,28.19236070059723
12,Sylvester,0.6172624768941241,32.060080117111234,14.467242202013123,34.63136666479359,8.395014613096055,17.058484250316287,14.983109158957204,31.349479411554643
